"","frasi","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"160","Mi rendo conto che Violet e Addison non sono ancora tornate dalle loro lezioni, così decido di andare un po‘ nella palestra che ho scoperto trovarsi al piano terra.",0,1,0,0,0,0,0,1,0,2
"161","La palestra ha i muri in vetro che lasciano  intravedere la piscina contornata dalle palme all‘esterno, da fuori invece le persone che passano non ne possono vedere l‘interno.",0,0,1,0,0,0,0,1,0,2
"162","Fortunatamente è poco affollata, così comincio il mio allenamento indisturbata.",0,0,0,0,0,0,0,0,0,0
"163","Noto però la presenza di un ragazzo muscoloso che è posizionato di spalle rispetto a me ed è intento a fare delle trazioni alla sbarra, ha un enorme tatuaggio che raffigura una specie di teschio dietro la sua schiena.",0,1,1,0,1,0,0,1,1,3
"164","""Mi segui?"" il tipo che sto praticamente fissando si volta e punta i suoi occhi su di me: si tratta ancora una volta di Matt.",0,0,0,1,1,0,0,1,0,2
"165","Possibile che sia ovunque io vada?""",0,0,0,0,0,0,0,0,0,0
"166","Non sapevo che fossi qua altrimenti non sarei venuta"" replico divertita, lo vedo accigliarsi di fronte a questa mia risposta.",0,0,0,0,0,0,0,0,0,0
"167","Mi soffermo a osservarlo: ha le braccia completamente ricoperte di tatuaggi, mentre sull‘addome ha raffigurata una specie di dea con la lingua di fuori.""Hai un programma?"" mi domanda Matt.""In realtà no, non ci ho pensato a portarmi dietro quello che mi aveva fatto il mio allenatore in Italia"" rispondo io portandomi una mano alla fronte.",1,0,0,0,0,0,0,4,2,3
"168","""Allora ti alleni con me"" risponde tranquillamente, un accenno di sorriso affiora sulle sue labbra carnose e appena arrossate per lo sforzo fisico.",0,1,0,0,2,0,2,2,0,3
"169","""Mi sembra un ordine"" ribatto ridendo, mi sto quasi ricredendo su di lui.",0,0,0,0,0,0,0,0,0,1
"170","Non credo sia poi così antipatico come mi è sembrato inizialmente, penso di aver capito che è solo piuttosto superbo e pare credere molto in se stesso.",0,0,0,0,0,0,0,0,0,1
"171","Che poi questi, alla fine dei conti, non sono affatto considerabili come dei difetti.""Dai vieni"" mi fa segno di avvicinarmi.",0,0,0,0,0,0,0,1,0,0
